Obj1,Aspect,Obj2,Score
Mercury,120,Uranus,1
Mercury,180,Uranus,1
Mercury,60,Neptune,1
Mercury,90,Neptune,-3
Mercury,120,Neptune,1
Mercury,180,Neptune,-3
Mercury,0,Pluto,1
Mercury,60,Pluto,1
Mercury,90,Pluto,1
Mercury,120,Pluto,1
Mercury,180,Pluto,1
Mercury,0,Ascendant,2
Mercury,60,Ascendant,1
Mercury,90,Ascendant,-1
Mercury,120,Ascendant,1
Mercury,0,Descendant,2
Mercury,0,IC,2
Mercury,0,MC,2
Venus,0,Venus,3
Venus,60,Venus,3
Venus,90,Venus,1
Venus,120,Venus,3
Venus,180,Venus,3
Venus,0,Mars,3
Venus,60,Mars,3
Venus,90,Mars,2
Venus,120,Mars,3
Venus,180,Mars,2
Venus,0,Jupiter,3
Venus,60,Jupiter,2
Venus,90,Jupiter,1
Venus,120,Jupiter,2
Venus,180,Jupiter,1
Venus,0,Saturn,2
Venus,60,Saturn,3
Venus,90,Saturn,-4
Venus,120,Saturn,3
Venus,180,Saturn,-3
Venus,0,Uranus,1
Venus,60,Uranus,2
Venus,90,Uranus,-2
Venus,120,Uranus,2
Venus,180,Uranus,-2
Venus,0,Neptune,2
Venus,60,Neptune,2
Venus,90,Neptune,-3
Venus,120,Neptune,2
Venus,180,Neptune,-3
Venus,0,Pluto,2
Venus,60,Pluto,2
Venus,90,Pluto,-2
Venus,120,Pluto,2
Venus,180,Pluto,-2
Venus,0,Ascendant,3
Venus,60,Ascendant,2
Venus,90,Ascendant,1
Venus,120,Ascendant,2
Venus,0,Descendant,3
Venus,0,IC,2
Venus,0,MC,2
Mars,0,Mars,2
Mars,60,Mars,2
Mars,90,Mars,-2
Mars,120,Mars,2
Mars,180,Mars,-2
Mars,0,Jupiter,2
Mars,60,Jupiter,2
Mars,90,Jupiter,2
Mars,120,Jupiter,2
Mars,180,Jupiter,2
Mars,0,Saturn,-3
Mars,60,Saturn,1
Mars,90,Saturn,-4
Mars,120,Saturn,1
Mars,180,Saturn,-4
Mars,0,Uranus,1
Mars,60,Uranus,1
Mars,90,Uranus,-2
Mars,120,Uranus,1
Mars,180,Uranus,-2
Mars,0,Neptune,-2
Mars,60,Neptune,1
Mars,90,Neptune,-2
Mars,120,Neptune,1
Mars,180,Neptune,-2
Mars,0,Pluto,2
Mars,60,Pluto,2
Mars,90,Pluto,-3
Mars,120,Pluto,2
Mars,180,Pluto,-3
Mars,0,Ascendant,2
Mars,60,Ascendant,2
Mars,90,Ascendant,-1
Mars,120,Ascendant,2
Mars,0,Descendant,2
Jupiter,0,Jupiter,2
Jupiter,60,Jupiter,2
Jupiter,90,Jupiter,2
Jupiter,120,Jupiter,2
Jupiter,180,Jupiter,2
Jupiter,0,Saturn,1
Jupiter,60,Saturn,1
Jupiter,90,Saturn,-1
Jupiter,120,Saturn,1
Jupiter,180,Saturn,-1
Jupiter,0,Uranus,1
Jupiter,60,Uranus,1
Jupiter,90,Uranus,1
Jupiter,120,Uranus,1
Jupiter,180,Uranus,1
Jupiter,0,Neptune,1
Jupiter,60,Neptune,1
Jupiter,90,Neptune,-1
Jupiter,120,Neptune,1
Jupiter,180,Neptune,-1
Jupiter,0,Pluto,1
Jupiter,60,Pluto,1
Jupiter,90,Pluto,-1
Jupiter,120,Pluto,1
Jupiter,180,Pluto,-1
Jupiter,0,Ascendant,2
Jupiter,60,Ascendant,1
Jupiter,90,Ascendant,1
Jupiter,120,Ascendant,1
Jupiter,0,Ascendant,2
Saturn,60,Saturn,1
Saturn,90,Saturn,-1
Saturn,120,Saturn,1
Saturn,180,Saturn,-1
Saturn,0,Ascendant,-2
Saturn,60,Ascendant,1
Saturn,90,Ascendant,-2
Saturn,120,Ascendant,1
Saturn,180,Ascendant,-2
Uranus,0,Descendant,-3
Neptune,0,Ascendant,-2
Neptune,0,Descendant,-2
Pluto,0,Descendant,1
Ascendant,0,Ascendant,1
Ascendant,60,Ascendant,2
Ascendant,90,Ascendant,-2
Ascendant,120,Ascendant,2
Ascendant,180,Ascendant,2
