Person1,Aspect,Person2,Score,Harmonious Keyword,Compatibility Category,Challenges Keyword,Incompatibility Category
First_House,180,Pluto,-2,,,Disregard for Boundaries,Respect
First_House,180,Pluto,-2,,,Jealousy and Competition,Sincerity
First_House,180,Pluto,-2,,,Lack for Consideration,Respect
First_House,180,Pluto,-2,,,Manipulation and Control,Sincerity
Sun,0,First_House,3,Acceptance,Respect,,
Sun,0,First_House,3,Mutual Respect,Respect,,
Sun,0,First_House,3,Honesty,Sincerity,,
Sun,0,First_House,3,Personality Traits,Interaction,,
Sun,60,First_House,2,Effective Communication,Interaction,,
Sun,60,First_House,2,Shared Values,Intellectual_Connection,,
Sun,90,First_House,-2,,,Unwillingness to Change,Commitment
Sun,90,First_House,-2,,,Ego Clash,Interaction
Sun,90,First_House,-2,,,Differing Interests,Intellectual_Connection
Sun,90,First_House,-2,,,Differing Goals,Intellectual_Connection
Sun,90,First_House,-2,,,Differing Values,Intellectual_Connection
Sun,90,First_House,-2,,,Frequent Disagreements,Interaction
Sun,90,First_House,-2,Independence,Emotional_Connection,,
Sun,120,First_House,3,Time Together,Commitment,,
Sun,120,First_House,3,Mutual Respect,Respect,,
Sun,120,First_House,3,Gratitude,Sincerity,,
Sun,120,First_House,3,Personality Traits,Interaction,,
Sun,120,First_House,3,Trust,Commitment,,
Sun,120,First_House,3,Shared Values,Intellectual_Connection,,
Sun,180,First_House,4,Forgiveness,Respect,,
Sun,180,First_House,4,Acceptance,Respect,,
Sun,180,First_House,4,Time Together,Commitment,,
Sun,180,First_House,4,Chemistry,Emotional_Connection,,
Sun,180,First_House,4,Shared Goals,Intellectual_Connection,,
Sun,180,First_House,4,Boundaries,Respect,,
Sun,180,First_House,4,Loyalty,Sincerity,,
Sun,0,Sun,2,Mutual Respect,Respect,,
Sun,0,Sun,2,Personality Traits,Interaction,,
Sun,0,Sun,2,Sense of Humor,Intellectual_Connection,,
Sun,0,Sun,2,,,Ego Clash,Interaction
Sun,60,Sun,3,Shared Values,Intellectual_Connection,,
Sun,60,Sun,3,Shared Goals,Intellectual_Connection,,
Sun,60,Sun,3,Mutual Support,Emotional_Connection,,
Sun,60,Sun,3,Sense of Humor,Intellectual_Connection,,
Sun,60,Sun,3,Personality Traits,Interaction,,
Sun,60,Sun,3,Mutual Respect,Respect,,
Sun,90,Sun,-2,,,Lack of Chemistry,Emotional_Connection
Sun,90,Sun,-2,,,Frequent Disagreements,Interaction
Sun,90,Sun,-2,,,Differing Interests,Intellectual_Connection
Sun,90,Sun,-2,,,Ego Clash,Interaction
Sun,120,Sun,3,Shared Values,Intellectual_Connection,,
Sun,120,Sun,3,Shared Goals,Intellectual_Connection,,
Sun,120,Sun,3,Mutual Support,Emotional_Connection,,
Sun,120,Sun,3,Sense of Humor,Intellectual_Connection,,
Sun,120,Sun,3,Personality Traits,Interaction,,
Sun,120,Sun,3,Mutual Respect,Respect,,
Sun,180,Sun,1,Mutual Respect,Respect,,
Sun,180,Sun,1,Loyalty,Sincerity,,
Sun,180,Sun,1,,,Differing Interests,Intellectual_Connection
Sun,180,Sun,1,,,Differing Goals,Intellectual_Connection
Sun,180,Sun,1,,,Differing Sense of Humor,Intellectual_Connection
Sun,180,Sun,1,,,Ego Clash,Interaction
Sun,180,Sun,1,,,Unwillingness to Change,Commitment
Sun,0,Moon,4,Loyalty,Sincerity,,
Sun,0,Moon,4,Gratitude,Sincerity,,
Sun,0,Moon,4,Time Together,Commitment,,
Sun,0,Moon,4,Chemistry,Emotional_Connection,,
Sun,0,Moon,4,Empathy,Emotional_Connection,,
Sun,0,Moon,4,Mutual Support,Emotional_Connection,,
Sun,0,Moon,4,,,Codependency,Emotional_Connection
Sun,60,Moon,3,Loyalty,Sincerity,,
Sun,60,Moon,3,Time Together,Commitment,,
Sun,60,Moon,3,Empathy,Emotional_Connection,,
Sun,60,Moon,3,Gratitude,Sincerity,,
Sun,60,Moon,3,Forgiveness,Respect,,
Sun,60,Moon,3,Trust,Commitment,,
Sun,60,Moon,3,,,Codependency,Emotional_Connection
Sun,90,Moon,-1,,,Differing Values,Intellectual_Connection
Sun,90,Moon,-1,,,Ego Clash,Interaction
Sun,90,Moon,-1,,,Unresponsive Interactions,Interaction
Sun,90,Moon,-1,,,Codependency,Emotional_Connection
Sun,90,Moon,-1,,,Fragility,Commitment
Sun,120,Moon,3,Loyalty,Sincerity,,
Sun,120,Moon,3,Time Together,Commitment,,
Sun,120,Moon,3,Empathy,Emotional_Connection,,
Sun,120,Moon,3,Gratitude,Sincerity,,
Sun,120,Moon,3,Forgiveness,Respect,,
Sun,120,Moon,3,Trust,Commitment,,
Sun,120,Moon,3,,,Codependency,Emotional_Connection
Sun,180,Moon,-2,,,Codependency,Emotional_Connection
Sun,180,Moon,-2,,,Differing Values,Intellectual_Connection
Sun,180,Moon,-2,,,Lack of Chemistry,Emotional_Connection
Sun,0,Mercury,3,Shared Interests,Intellectual_Connection,,
Sun,0,Mercury,3,Effective Communication,Interaction,,
Sun,0,Mercury,3,Engaging Conversations,Interaction,,
Sun,60,Mercury,2,Adaptability,Commitment,,
Sun,60,Mercury,2,Effective Communication,Interaction,,
Sun,90,Mercury,-2,,,Unresponsive Interactions,Interaction
Sun,90,Mercury,-2,,,Frequent Disagreements,Interaction
Sun,120,Mercury,3,Shared Goals,Intellectual_Connection,,
Sun,120,Mercury,3,Sense of Humor,Intellectual_Connection,,
Sun,120,Mercury,3,Engaging Conversations,Interaction,,
Sun,180,Mercury,-2,,,Frequent Disagreements,Interaction
Sun,180,Mercury,-2,,,Conflict Resolution,Interaction
Sun,0,Mars,1,Mutual Support,Emotional_Connection,,
Sun,0,Mars,1,Resilience,Commitment,,
Sun,0,Mars,1,Independence,Emotional_Connection,,
Sun,0,Mars,1,,,Ego Clash,Interaction
Sun,60,Mars,2,Resilience,Commitment,,
Sun,60,Mars,2,Independence,Emotional_Connection,,
Sun,60,Mars,2,,,Unwillingness to Change,Commitment
Sun,90,Mars,-3,,,Differing Goals,Intellectual_Connection
Sun,90,Mars,-3,,,Jealousy and Competition,Sincerity
Sun,90,Mars,-3,,,Ego Clash,Interaction
Sun,90,Mars,-3,,,Frequent Disagreements,Interaction
Sun,90,Mars,-3,Independence,Emotional_Connection,,
Sun,120,Mars,2,Personality Traits,Interaction,,
Sun,120,Mars,2,Mutual Respect,Respect,,
Sun,120,Mars,2,Mutual Support,Emotional_Connection,,
Sun,120,Mars,2,,,Unwillingness to Change,Commitment
Sun,180,Mars,-2,,,Differing Goals,Intellectual_Connection
Sun,180,Mars,-2,,,Jealousy and Competition,Sincerity
Sun,180,Mars,-2,,,Ego Clash,Interaction
Sun,180,Mars,-2,,,Frequent Disagreements,Interaction
Sun,0,Venus,2,Time Together,Commitment,,
Sun,0,Venus,2,Chemistry,Emotional_Connection,,
Sun,0,Venus,2,Gratitude,Sincerity,,
Sun,60,Venus,2,Mutual Support,Emotional_Connection,,
Sun,60,Venus,2,Trust,Commitment,,
Sun,90,Venus,-2,,,Differing Values,Intellectual_Connection
Sun,90,Venus,-2,,,Differing Sense of Humor,Intellectual_Connection
Sun,90,Venus,-2,,,Reserved,Interaction
Sun,120,Venus,2,Gratitude,Sincerity,,
Sun,120,Venus,2,Sense of Humor,Intellectual_Connection,,
Sun,120,Venus,2,Loyalty,Sincerity,,
Sun,120,Venus,2,,,Codependency,Emotional_Connection
Sun,180,Venus,-1,,,Differing Interests,Intellectual_Connection
Sun,0,Jupiter,3,Sense of Humor,Intellectual_Connection,,
Sun,0,Jupiter,3,Openness,Interaction,,
Sun,0,Jupiter,3,Shared Goals,Intellectual_Connection,,
Sun,0,Jupiter,3,Personality Traits,Interaction,,
Sun,60,Jupiter,2,Trust,Commitment,,
Sun,60,Jupiter,2,Time Together,Commitment,,
Sun,90,Jupiter,-2,,,Differing Values,Intellectual_Connection
Sun,90,Jupiter,-2,,,Reserved,Interaction
Sun,90,Jupiter,-2,,,Differing Goals,Intellectual_Connection
Sun,120,Jupiter,3,Mutual Respect,Respect,,
Sun,120,Jupiter,3,Shared Goals,Intellectual_Connection,,
Sun,120,Jupiter,3,Honesty,Sincerity,,
Sun,180,Jupiter,-2,,,Differing Goals,Intellectual_Connection
Sun,180,Jupiter,-2,,,Differing Values,Intellectual_Connection
Sun,0,Saturn,2,Trust,Commitment,,
Sun,0,Saturn,2,Loyalty,Sincerity,,
Sun,0,Saturn,2,Independence,Emotional_Connection,,
Sun,60,Saturn,2,Mutual Respect,Respect,,
Sun,60,Saturn,2,Honesty,Sincerity,,
Sun,60,Saturn,2,Independence,Emotional_Connection,,
Sun,90,Saturn,-3,,,Betrayals,Sincerity
Sun,90,Saturn,-3,,,Conflict Resolution,Interaction
Sun,90,Saturn,-3,,,Frequent Disagreements,Interaction
Sun,90,Saturn,-3,,,Unresponsive Interactions,Interaction
Sun,120,Saturn,3,Mutual Respect,Respect,,
Sun,120,Saturn,3,Resilience,Commitment,,
Sun,120,Saturn,3,Trust,Commitment,,
Sun,120,Saturn,3,Independence,Emotional_Connection,,
Sun,180,Saturn,-2,,,Differing Values,Intellectual_Connection
Sun,180,Saturn,-2,,,Conflict Resolution,Interaction
Sun,0,Uranus,2,Equality,Sincerity,,
Sun,0,Uranus,2,Independence,Emotional_Connection,,
Sun,60,Uranus,2,Shared Interests,Intellectual_Connection,,
Sun,60,Uranus,2,,,Indifference,Emotional_Connection
Sun,90,Uranus,-2,,,Differing Values,Intellectual_Connection
Sun,90,Uranus,-2,,,Indifference,Emotional_Connection
Sun,90,Uranus,-2,,,Unresponsive Interactions,Interaction
Sun,90,Uranus,-2,,,Ego Clash,Interaction
Sun,90,Uranus,-2,,,Lack of Chemistry,Emotional_Connection
Sun,120,Uranus,2,Boundaries,Respect,,
Sun,120,Uranus,2,Acceptance,Respect,,
Sun,120,Uranus,2,,,Unwillingness to Change,Commitment
Sun,180,Uranus,-2,,,Differing Goals,Intellectual_Connection
Sun,180,Uranus,-2,,,Differing Values,Intellectual_Connection
Sun,180,Uranus,-2,Equality,Sincerity,,
Sun,0,Neptune,-1,,,Codependency,Emotional_Connection
Sun,0,Neptune,-1,,,Disregard for Boundaries,Respect
Sun,60,Neptune,1,Empathy,Emotional_Connection,,
Sun,90,Neptune,-2,,,Dishonesty,Sincerity
Sun,90,Neptune,-2,,,Betrayals,Sincerity
Sun,90,Neptune,-2,,,Fragility,Commitment
Sun,120,Neptune,2,Forgiveness,Respect,,
Sun,120,Neptune,2,Acceptance,Respect,,
Sun,180,Neptune,-1,,,Dishonesty,Sincerity
Sun,180,Neptune,-1,,,Differing Values,Intellectual_Connection
Sun,0,Pluto,-1,,,Manipulation and Control,Sincerity
Sun,60,Pluto,1,Resilience,Commitment,,
Sun,60,Pluto,1,,,Reserved,Interaction
Sun,90,Pluto,-3,,,Manipulation and Control,Sincerity
Sun,90,Pluto,-3,,,Betrayals,Sincerity
Sun,90,Pluto,-3,,,Dishonesty,Sincerity
Sun,90,Pluto,-3,,,Jealousy and Competition,Sincerity
Sun,90,Pluto,-3,,,Unwillingness to Change,Commitment
Sun,120,Pluto,1,Resilience,Commitment,,
Sun,180,Pluto,-2,,,Differing Goals,Intellectual_Connection
Sun,180,Pluto,-2,,,Ego Clash,Interaction
Sun,180,Pluto,-2,,,Unwillingness to Change,Commitment
Moon,0,First_House,4,Loyalty,Sincerity,,
Moon,0,First_House,4,Gratitude,Sincerity,,
Moon,0,First_House,4,Empathy,Emotional_Connection,,
Moon,0,First_House,4,Chemistry,Emotional_Connection,,
Moon,0,First_House,4,Acceptance,Respect,,
Moon,0,First_House,4,Mutual Support,Emotional_Connection,,
Moon,60,First_House,2,Trust,Commitment,,
Moon,60,First_House,2,Forgiveness,Respect,,
Moon,90,First_House,-1,,,Codependency,Emotional_Connection
Moon,90,First_House,-1,,,Differing Values,Intellectual_Connection
Moon,90,First_House,-1,,,Indifference,Emotional_Connection
Moon,90,First_House,-1,,,Fragility,Commitment
Moon,90,First_House,-1,,,Reserved,Interaction
Moon,120,First_House,3,Time Together,Commitment,,
Moon,120,First_House,3,Trust,Commitment,,
Moon,120,First_House,3,Forgiveness,Respect,,
Moon,120,First_House,3,Chemistry,Emotional_Connection,,
Moon,120,First_House,3,,,Codependency,Emotional_Connection
Moon,180,First_House,4,Time Together,Commitment,,
Moon,180,First_House,4,Loyalty,Sincerity,,
Moon,180,First_House,4,Honesty,Sincerity,,
Moon,180,First_House,4,Gratitude,Sincerity,,
Moon,180,First_House,4,Chemistry,Emotional_Connection,,
Moon,180,First_House,4,Adaptability,Commitment,,
Moon,180,First_House,4,Acceptance,Respect,,
Moon,0,Sun,4,Loyalty,Sincerity,,
Moon,0,Sun,4,Gratitude,Sincerity,,
Moon,0,Sun,4,Time Together,Commitment,,
Moon,0,Sun,4,Chemistry,Emotional_Connection,,
Moon,0,Sun,4,Empathy,Emotional_Connection,,
Moon,0,Sun,4,Mutual Support,Emotional_Connection,,
Moon,0,Sun,4,,,Codependency,Emotional_Connection
Moon,60,Sun,3,Loyalty,Sincerity,,
Moon,60,Sun,3,Time Together,Commitment,,
Moon,60,Sun,3,Empathy,Emotional_Connection,,
Moon,60,Sun,3,Gratitude,Sincerity,,
Moon,60,Sun,3,Forgiveness,Respect,,
Moon,60,Sun,3,Trust,Commitment,,
Moon,60,Sun,3,,,Codependency,Emotional_Connection
Moon,90,Sun,-1,,,Differing Values,Intellectual_Connection
Moon,90,Sun,-1,,,Ego Clash,Interaction
Moon,90,Sun,-1,,,Unresponsive Interactions,Interaction
Moon,90,Sun,-1,,,Codependency,Emotional_Connection
Moon,90,Sun,-1,,,Fragility,Commitment
Moon,120,Sun,3,Loyalty,Sincerity,,
Moon,120,Sun,3,Time Together,Commitment,,
Moon,120,Sun,3,Empathy,Emotional_Connection,,
Moon,120,Sun,3,Gratitude,Sincerity,,
Moon,120,Sun,3,Forgiveness,Respect,,
Moon,120,Sun,3,Trust,Commitment,,
Moon,120,Sun,3,,,Codependency,Emotional_Connection
Moon,180,Sun,-2,,,Codependency,Emotional_Connection
Moon,180,Sun,-2,,,Differing Values,Intellectual_Connection
Moon,180,Sun,-2,,,Lack of Chemistry,Emotional_Connection
Moon,0,Moon,2,Empathy,Emotional_Connection,,
Moon,0,Moon,2,Shared Values,Intellectual_Connection,,
Moon,0,Moon,2,Trust,Commitment,,
Moon,0,Moon,2,Chemistry,Emotional_Connection,,
Moon,60,Moon,2,Empathy,Emotional_Connection,,
Moon,60,Moon,2,Shared Values,Intellectual_Connection,,
Moon,60,Moon,2,Trust,Commitment,,
Moon,90,Moon,-2,,,Lack of Trust,Commitment
Moon,90,Moon,-2,,,Differing Interests,Intellectual_Connection
Moon,90,Moon,-2,,,Differing Values,Intellectual_Connection
Moon,90,Moon,-2,,,Neglect,Commitment
Moon,120,Moon,2,Empathy,Emotional_Connection,,
Moon,120,Moon,2,Shared Values,Intellectual_Connection,,
Moon,120,Moon,2,Trust,Commitment,,
Moon,180,Moon,-1,,,Lack of Trust,Commitment
Moon,180,Moon,-1,,,Differing Interests,Intellectual_Connection
Moon,180,Moon,-1,,,Differing Values,Intellectual_Connection
Moon,180,Moon,-1,,,Codependency,Emotional_Connection
Moon,180,Moon,-1,,,Resentment,Respect
Moon,180,Moon,-1,,,Lack for Consideration,Respect
Moon,180,Moon,-1,,,Disregard for Boundaries,Respect
Moon,180,Moon,-1,,,Neglect,Commitment
Moon,0,Mercury,2,Empathy,Emotional_Connection,,
Moon,0,Mercury,2,Gratitude,Sincerity,,
Moon,0,Mercury,2,Acceptance,Respect,,
Moon,60,Mercury,2,Shared Interests,Intellectual_Connection,,
Moon,60,Mercury,2,Empathy,Emotional_Connection,,
Moon,60,Mercury,2,Chemistry,Emotional_Connection,,
Moon,90,Mercury,-2,,,Indifference,Emotional_Connection
Moon,90,Mercury,-2,,,Criticism,Respect
Moon,90,Mercury,-2,,,Resentment,Respect
Moon,90,Mercury,-2,Chemistry,Emotional_Connection,,
Moon,120,Mercury,2,Empathy,Emotional_Connection,,
Moon,120,Mercury,2,Gratitude,Sincerity,,
Moon,120,Mercury,2,Acceptance,Respect,,
Moon,180,Mercury,-2,,,Differing Goals,Intellectual_Connection
Moon,180,Mercury,-2,,,Frequent Disagreements,Interaction
Moon,180,Mercury,-2,,,Unresponsive Interactions,Interaction
Moon,0,Mars,-1,,,Lack for Consideration,Respect
Moon,60,Mars,2,Conflict Resolution,Interaction,,
Moon,60,Mars,2,Honesty,Sincerity,,
Moon,60,Mars,2,Mutual Respect,Respect,,
Moon,90,Mars,-3,,,Lack for Consideration,Respect
Moon,90,Mars,-3,,,Conflict Resolution,Interaction
Moon,90,Mars,-3,,,Fragility,Commitment
Moon,90,Mars,-3,,,Resentment,Respect
Moon,90,Mars,-3,,,Unwillingness to Change,Commitment
Moon,90,Mars,-3,,,Lack of Support,Emotional_Connection
Moon,90,Mars,-3,,,Indifference,Emotional_Connection
Moon,120,Mars,2,Conflict Resolution,Interaction,,
Moon,120,Mars,2,Honesty,Sincerity,,
Moon,120,Mars,2,Mutual Respect,Respect,,
Moon,180,Mars,-2,,,Conflict Resolution,Interaction
Moon,180,Mars,-2,,,Resentment,Respect
Moon,180,Mars,-2,,,Reserved,Interaction
Moon,0,Venus,2,Shared Values,Intellectual_Connection,,
Moon,0,Venus,2,Forgiveness,Respect,,
Moon,0,Venus,2,Acceptance,Respect,,
Moon,0,Venus,2,,,Codependency,Emotional_Connection
Moon,60,Venus,2,Shared Values,Intellectual_Connection,,
Moon,60,Venus,2,Forgiveness,Respect,,
Moon,60,Venus,2,Acceptance,Respect,,
Moon,90,Venus,-2,,,Unresponsive Interactions,Interaction
Moon,90,Venus,-2,,,Lack for Consideration,Respect
Moon,90,Venus,-2,,,Differing Values,Intellectual_Connection
Moon,120,Venus,2,Shared Values,Intellectual_Connection,,
Moon,120,Venus,2,Forgiveness,Respect,,
Moon,120,Venus,2,Acceptance,Respect,,
Moon,180,Venus,-1,,,Unresponsive Interactions,Interaction
Moon,0,Jupiter,3,Honesty,Sincerity,,
Moon,0,Jupiter,3,Empathy,Emotional_Connection,,
Moon,0,Jupiter,3,Openness,Interaction,,
Moon,0,Jupiter,3,Conflict Resolution,Interaction,,
Moon,0,Jupiter,3,Equality,Sincerity,,
Moon,60,Jupiter,2,Engaging Conversations,Interaction,,
Moon,60,Jupiter,2,Equality,Sincerity,,
